Place,Aqu,Dij,Sens,Nev,MCa,Rome3,VimA
,-5,-5,-5,-5,-5,,-5
,-3,-3,-3,-3,-3,,-3
ti,-3,-3,-3,-3,-3,-3,-3
at,-3,-3,-3,-3,-3,,
,0,0,0,0,0,,
,,,,,0,,
,-1,-1,-1,-1,-1,,
,-3,-3,-3,-3,-3,-3,-3
,0,-1,0,-1,-1,-5,-1
fir,-5,-5,-5,-5,-5,-7,-3
,,,,,,-3,0
,,,,,,0,0
,,,,,,-1,
,,,,,,-3,-3
,,,,,,-1,-1
,,,,,,-3,-3
ma,,,,,,-5,-5
,-3,-3,-3,-3,-3,-3,-3
men,0,0,0,0,0,0,0
,-3,-3,-3,-3,-3,-3,-3
,0,0,0,0,0,0,0
,2,2,2,2,2,2,2
tum,2,2,2,2,2,2,2
,,,,,,0,2
,4,4,4,4,4,4,2
,0,0,0,0,0,2,4
,-1,-1,-1,-1,-1,0,2
,0,0,0,0,0,4,0
,2,2,2,2,2,2,2
,-5,-5,-5,-5,-5,0,4
,,,,,,,4
,,,,,,,2
,,,,,,,0
,-3,-3,-3,-3,-3,4,4
,,,,,,5,5
,0,0,0,-1,0,2,4
,0,0,0,0,0,0,2
,2,,2,2,0,0,4
,,,,,,,2
,,,,,,,0
,,,,,,-1,-1
,,,,,,-3,0
,,,,,,-5,-3
,,,,,,0,-3
,,,,,,,-3
,,,,,,,-3
,,,,,,2,2
,,,,,,0,0
,4,,4,4,,2,2
,,,,,,,2
,,,,,,,-
,4,4,,,4,4,4
,2,2,2,2,2,2,2
,0,0,0,0,0,4,4
,-1,-1,-1,-1,-1,2,2
,,,,,,0,0
,-3,-3,-3,-3,-3,-3,-1
,-1,-1,-1,0,-1,,0
,0,0,0,0,0,0,2
,,,,,,-3,0
,,,,,,0,-1
,,,,,,,-3
,,,,,,,2
,,,,,,,0
,,,,,,,-1
,,,,,,,0
,,,,,,,2
,,,,,,,0
,,,,,,,-1
,,,,,,,-3
,,,,,,,-1
,,,,,,,0
,,,,,,,2
,,,,,,,0
,,,,,,-1,-1
,-3,-3,-3,-3,-3,-3,-3
