Place,Aqu,Ger1,Dij,Arne,Nev,Aux,NIt,Gai,MCa,Rome3
,-10,-10,-10,-10,-10,-10,-10,-10,-10,
mi,-10,-10,-10,-10,-10,-10,-10,-10,-10,
,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5
,-7,,-7,-7,-7,-7,-7,-7,-7,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-7
se,-5,-5,-5,-5,-5,-5,-5,-5,-5,-10
,,,,,,,,,,-12
re,,,,,,,,,,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,,,,,,,,,,-3
re,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-10,,-10,-10,,,-10,,-10,-7
,,,,,,,,,,-5
no,,,,,,,,-10,,
,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-8,-7,-7,-7,-7,-7,-7,-3,-7,-7
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
,-7,-7,,-7,-7,-7,-7,-3,-7,-7
bis,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
,,,,,,,,,,-7
,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
