Place,Aqu,Klo,Dij,Sens,Arne,Nev,Gai,MCa,Rome3,VimA
,-1,-1,-1,-1,,,,-1,-1,-1
,2,2,0,2,2,,0,0,0,0
,0,0,-1,,,,-1,-1,-3,-1
,2,,2,,,,2,2,-5,-3
,0,0,0,0,0,,0,,-3,-5
,0,0,0,0,0,,,0,,-3
,-1,0,0,0,0,0,0,0,0,-5
,0,,0,0,0,,0,0,-1,-7
,-3,-3,-3,-3,-3,,-3,-3,-3,-3
,-5,-5,-5,-5,-5,,-5,-5,-5,0
,-3,-3,-3,-3,-3,-3,-3,-3,,0
,0,0,-1,-1,-1,-1,-1,-1,,-1
,,,,,,,,,,-3
,,,,,,,,,,-5
,,,,,,,,,,-3
,,,,,,,,,,-7
,,,,,,,,,,-3
,,,,,,,,,,-5
,-3,-3,0,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-1
,,,,,,,,,,0
,,,,,,,,,,-1
,-3,-3,0,-3,-3,-3,-3,-3,-3,-3
,,,,,,,,,,-1
,-3,-3,0,-3,-3,-3,-3,-3,-3,-3
,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
su,-5,-5,-5,-5,-5,-5,-5,-5,,-3
,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,0,2
,,,,,,,,,,-1
sci,0,0,0,0,0,0,0,0,,0
,2,2,2,2,2,2,2,2,2,2
pi,,,,,,,,,,4
,2,2,2,2,2,2,2,2,,2
,5,4,4,4,4,4,4,4,,4
,2,2,2,2,2,2,2,2,,2
,0,0,0,0,0,0,0,0,0,0
ant,2,2,2,2,2,2,2,2,2,2
,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,-1,
,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,2,
,,,,,,,,,0,
,-3,-3,-3,-3,-3,-3,-3,-3,-1,
mon,0,0,0,0,0,0,0,0,0,0
,2,2,2,2,2,2,2,2,,0
,2,2,2,2,2,2,2,2,2,2
,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,2,4
,,,,,,,,,,4
,,,,,,,,,-1,0
,,,,,,,,,0,0
,,,,,,,,,2,2
,,,,,,,,,0,0
,2,2,2,2,2,2,2,2,2,4
,,,,,,,,,4,0
,,,,,,,,,,2
tes,2,2,2,2,2,2,2,2,2,2
,5,,,,,,,,4,
,0,5,5,5,5,5,5,5,5,5
,2,2,2,,,,,,4,4
,4,4,4,2,2,2,2,2,2,
,5,5,5,5,4,5,4,4,4,5
,,5,5,5,5,5,5,,2,
,,,,4,4,4,4,,4,7
,,,,2,,,5,5,5,5
,,,4,4,,,4,4,4,4
,,,2,,2,2,2,2,2,2
,4,4,4,4,4,4,4,4,4,
,2,2,2,2,2,2,,2,,
pa,2,2,2,2,2,2,2,2,2,-5
,4,4,4,4,4,4,4,4,4,0
,-1,-1,-1,0,-1,0,0,0,2,0
,0,0,0,0,0,0,0,0,2,2
,2,2,2,2,2,2,2,2,0,4
,4,4,4,4,4,4,4,4,-1,4
,2,2,2,2,2,2,2,2,0,0
,,,0,4,4,4,4,4,2,0
,4,4,4,,-1,,,,2,2
,-1,-1,-1,0,,0,0,0,4,2
,0,0,0,0,0,0,0,0,2,-3
,2,2,2,2,2,2,2,2,0,0
,5,5,5,5,5,5,5,5,-1,0
,5,5,5,4,5,5,5,5,0,0
,,,,,2,,,,2,2
,0,2,0,0,0,0,0,2,2,2
,4,4,4,4,4,4,4,4,5,4
,2,2,2,2,2,2,2,2,4,0
,4,4,4,4,4,4,4,4,2,0
,0,0,0,0,0,0,0,0,0,2
,-3,-3,-3,-3,-3,-3,-3,-3,2,2
,,,,,,,-1,-1,4,2
,0,-3,,0,0,0,0,0,2,4
,2,-1,-1,2,2,2,2,2,0,2
,0,0,0,-1,-1,0,0,-1,2,4
,2,2,2,2,2,2,2,2,0,5
,,0,-1,0,0,0,0,0,-1,7
,,2,2,-1,-1,-1,-1,-1,-3,4
,0,2,0,,,,,,2,4
,-5,-1,-5,-5,-5,-5,-5,-5,0,5
,,-5,,,,-3,-3,-3,2,7
,-3,-3,-3,-3,-3,0,0,0,0,4
,0,0,0,0,0,,,,-1,2
,,-1,-1,-1,-3,-1,-1,-1,-3,4
,,0,0,0,0,0,0,0,0,5
,,,,,,,,,-1,7
,,,,,,,,,-3,5
,,,,,,,,,-1,2
,-3,-3,-3,-3,-3,-3,-3,-3,-3,5
,,,,,,,,,-5,5
,0,0,0,0,0,0,0,0,2,0
,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
,0,0,0,0,0,0,0,0,0,5
